trj_timestamp,trj_amt,trj_txn,trj_categ,trj_len,trj_dur,txn_IDs,txn_types,txn_amts,txn_fees,txn_txns,acct_IDs,acct_durs
2019-08-08 07:00:00,10.0,0.333333,"(deposit,withdraw)",0,2.0,"[10000004,10000005]","[cash-in,mobile-minutes]","[10.0,10.0]","[0.0,0.0]","[0.333333,1.0]","[YYY,XYZ,provider]",[2.0]
2019-08-08 07:00:00,10.0,0.333333,"(deposit,withdraw)",0,38.0,"[10000004,10000006]","[cash-in,mobile-minutes]","[10.0,10.0]","[0.0,0.0]","[0.333333,1.0]","[YYY,XYZ,provider]",[38.0]
2019-08-08 07:00:00,2.5,0.083333,"(deposit,withdraw)",0,122.0,"[10000004,10000008]","[cash-in,mobile-minutes]","[2.5,2.5]","[0.0,0.0]","[0.083333,0.25]","[YYY,XYZ,provider]",[122.0]
2019-08-13 06:00:00,7.5,0.25,"(deposit,withdraw)",0,3.0,"[10000007,10000008]","[cash-in,mobile-minutes]","[7.5,7.5]","[0.0,0.0]","[0.25,0.75]","[ZZZ,XYZ,provider]",[3.0]
2019-08-08 07:00:00,2.5,0.083333,"(deposit,withdraw)",0,172.0,"[10000004,10000009]","[cash-in,mobile-minutes]","[2.5,2.5]","[0.0,0.0]","[0.083333,0.25]","[YYY,XYZ,provider]",[172.0]
2019-08-13 06:00:00,7.5,0.25,"(deposit,withdraw)",0,53.0,"[10000007,10000009]","[cash-in,mobile-minutes]","[7.5,7.5]","[0.0,0.0]","[0.25,0.75]","[ZZZ,XYZ,provider]",[53.0]
2019-08-08 07:00:00,0.833333,0.027778,"(deposit,withdraw)",0,238.0,"[10000004,10000011]","[cash-in,mobile-minutes]","[0.833333,0.833333]","[0.0,0.0]","[0.027778,0.083333]","[YYY,XYZ,provider]",[238.0]
2019-08-13 06:00:00,2.5,0.083333,"(deposit,withdraw)",0,119.0,"[10000007,10000011]","[cash-in,mobile-minutes]","[2.5,2.5]","[0.0,0.0]","[0.083333,0.25]","[ZZZ,XYZ,provider]",[119.0]
2019-08-18 00:00:00,6.666667,0.166667,"(deposit,withdraw)",0,5.0,"[10000010,10000011]","[cash-in,mobile-minutes]","[6.666667,6.666667]","[0.0,0.0]","[0.166667,0.666667]","[AAA,XYZ,provider]",[5.0]
2019-08-08 07:00:00,0.833333,0.027778,"(deposit,withdraw)",0,241.0,"[10000004,10000012]","[cash-in,mobile-minutes]","[0.833333,0.833333]","[0.0,0.0]","[0.027778,0.083333]","[YYY,XYZ,provider]",[241.0]
2019-08-13 06:00:00,2.5,0.083333,"(deposit,withdraw)",0,122.0,"[10000007,10000012]","[cash-in,mobile-minutes]","[2.5,2.5]","[0.0,0.0]","[0.083333,0.25]","[ZZZ,XYZ,provider]",[122.0]
2019-08-18 00:00:00,6.666667,0.166667,"(deposit,withdraw)",0,8.0,"[10000010,10000012]","[cash-in,mobile-minutes]","[6.666667,6.666667]","[0.0,0.0]","[0.166667,0.666667]","[AAA,XYZ,provider]",[8.0]
2019-08-08 07:00:00,0.833333,0.027778,"(deposit,withdraw)",0,248.0,"[10000004,10000013]","[cash-in,mobile-minutes]","[0.833333,0.833333]","[0.0,0.0]","[0.027778,0.083333]","[YYY,XYZ,provider]",[248.0]
2019-08-13 06:00:00,2.5,0.083333,"(deposit,withdraw)",0,129.0,"[10000007,10000013]","[cash-in,mobile-minutes]","[2.5,2.5]","[0.0,0.0]","[0.083333,0.25]","[ZZZ,XYZ,provider]",[129.0]
2019-08-18 00:00:00,6.666667,0.166667,"(deposit,withdraw)",0,15.0,"[10000010,10000013]","[cash-in,mobile-minutes]","[6.666667,6.666667]","[0.0,0.0]","[0.166667,0.666667]","[AAA,XYZ,provider]",[15.0]
2019-08-08 07:00:00,0.833333,0.027778,"(deposit,withdraw)",0,249.0,"[10000004,10000014]","[cash-in,mobile-minutes]","[0.833333,0.833333]","[0.0,0.0]","[0.027778,0.083333]","[YYY,XYZ,provider]",[249.0]
2019-08-13 06:00:00,2.5,0.083333,"(deposit,withdraw)",0,130.0,"[10000007,10000014]","[cash-in,mobile-minutes]","[2.5,2.5]","[0.0,0.0]","[0.083333,0.25]","[ZZZ,XYZ,provider]",[130.0]
2019-08-18 00:00:00,6.666667,0.166667,"(deposit,withdraw)",0,16.0,"[10000010,10000014]","[cash-in,mobile-minutes]","[6.666667,6.666667]","[0.0,0.0]","[0.166667,0.666667]","[AAA,XYZ,provider]",[16.0]
2019-08-08 07:00:00,0.333333,0.011111,"(deposit,withdraw)",0,316.0,"[10000004,10000016]","[cash-in,mobile-minutes]","[0.333333,0.333333]","[0.0,0.0]","[0.011111,0.033333]","[YYY,XYZ,provider]",[316.0]
2019-08-13 06:00:00,1.0,0.033333,"(deposit,withdraw)",0,197.0,"[10000007,10000016]","[cash-in,mobile-minutes]","[1.0,1.0]","[0.0,0.0]","[0.033333,0.1]","[ZZZ,XYZ,provider]",[197.0]
2019-08-18 00:00:00,2.666667,0.066667,"(deposit,withdraw)",0,83.0,"[10000010,10000016]","[cash-in,mobile-minutes]","[2.666667,2.666667]","[0.0,0.0]","[0.066667,0.266667]","[AAA,XYZ,provider]",[83.0]
2019-08-21 06:00:00,6.0,0.2,"(deposit,withdraw)",0,5.0,"[10000015,10000016]","[cash-in,mobile-minutes]","[6.0,6.0]","[0.0,0.0]","[0.2,0.6]","[BBB,XYZ,provider]",[5.0]
2019-08-08 07:00:00,0.333333,0.011111,"(deposit,withdraw)",0,335.0,"[10000004,10000017]","[cash-in,mobile-minutes]","[0.333333,0.333333]","[0.0,0.0]","[0.011111,0.033333]","[YYY,XYZ,provider]",[335.0]
2019-08-13 06:00:00,1.0,0.033333,"(deposit,withdraw)",0,216.0,"[10000007,10000017]","[cash-in,mobile-minutes]","[1.0,1.0]","[0.0,0.0]","[0.033333,0.1]","[ZZZ,XYZ,provider]",[216.0]
2019-08-18 00:00:00,2.666667,0.066667,"(deposit,withdraw)",0,102.0,"[10000010,10000017]","[cash-in,mobile-minutes]","[2.666667,2.666667]","[0.0,0.0]","[0.066667,0.266667]","[AAA,XYZ,provider]",[102.0]
2019-08-21 06:00:00,6.0,0.2,"(deposit,withdraw)",0,24.0,"[10000015,10000017]","[cash-in,mobile-minutes]","[6.0,6.0]","[0.0,0.0]","[0.2,0.6]","[BBB,XYZ,provider]",[24.0]
2019-08-08 07:00:00,0.25,0.008333,"(deposit,withdraw)",0,369.0,"[10000004,10000019]","[cash-in,mobile-minutes]","[0.25,0.25]","[0.0,0.0]","[0.008333,0.025]","[YYY,XYZ,provider]",[369.0]
2019-08-13 06:00:00,0.75,0.025,"(deposit,withdraw)",0,250.0,"[10000007,10000019]","[cash-in,mobile-minutes]","[0.75,0.75]","[0.0,0.0]","[0.025,0.075]","[ZZZ,XYZ,provider]",[250.0]
2019-08-18 00:00:00,2.0,0.05,"(deposit,withdraw)",0,136.0,"[10000010,10000019]","[cash-in,mobile-minutes]","[2.0,2.0]","[0.0,0.0]","[0.05,0.2]","[AAA,XYZ,provider]",[136.0]
2019-08-21 06:00:00,4.5,0.15,"(deposit,withdraw)",0,58.0,"[10000015,10000019]","[cash-in,mobile-minutes]","[4.5,4.5]","[0.0,0.0]","[0.15,0.45]","[BBB,XYZ,provider]",[58.0]
2019-08-22 08:00:00,2.5,0.25,"(deposit,withdraw)",0,32.0,"[10000018,10000019]","[cash-in,mobile-minutes]","[2.5,2.5]","[0.0,0.0]","[0.25,0.25]","[CCC,XYZ,provider]",[32.0]
2019-08-08 07:00:00,0.25,0.008333,"(deposit,withdraw)",0,409.0,"[10000004,10000020]","[cash-in,mobile-minutes]","[0.25,0.25]","[0.0,0.0]","[0.008333,0.025]","[YYY,XYZ,provider]",[409.0]
2019-08-13 06:00:00,0.75,0.025,"(deposit,withdraw)",0,290.0,"[10000007,10000020]","[cash-in,mobile-minutes]","[0.75,0.75]","[0.0,0.0]","[0.025,0.075]","[ZZZ,XYZ,provider]",[290.0]
2019-08-18 00:00:00,2.0,0.05,"(deposit,withdraw)",0,176.0,"[10000010,10000020]","[cash-in,mobile-minutes]","[2.0,2.0]","[0.0,0.0]","[0.05,0.2]","[AAA,XYZ,provider]",[176.0]
2019-08-21 06:00:00,4.5,0.15,"(deposit,withdraw)",0,98.0,"[10000015,10000020]","[cash-in,mobile-minutes]","[4.5,4.5]","[0.0,0.0]","[0.15,0.45]","[BBB,XYZ,provider]",[98.0]
2019-08-22 08:00:00,2.5,0.25,"(deposit,withdraw)",0,72.0,"[10000018,10000020]","[cash-in,mobile-minutes]","[2.5,2.5]","[0.0,0.0]","[0.25,0.25]","[CCC,XYZ,provider]",[72.0]
2019-08-08 07:00:00,0.125,0.004167,"(deposit,withdraw)",0,457.0,"[10000004,10000022]","[cash-in,mobile-minutes]","[0.125,0.125]","[0.0,0.0]","[0.004167,0.0125]","[YYY,XYZ,provider]",[457.0]
2019-08-13 06:00:00,0.375,0.0125,"(deposit,withdraw)",0,338.0,"[10000007,10000022]","[cash-in,mobile-minutes]","[0.375,0.375]","[0.0,0.0]","[0.0125,0.0375]","[ZZZ,XYZ,provider]",[338.0]
2019-08-18 00:00:00,1.0,0.025,"(deposit,withdraw)",0,224.0,"[10000010,10000022]","[cash-in,mobile-minutes]","[1.0,1.0]","[0.0,0.0]","[0.025,0.1]","[AAA,XYZ,provider]",[224.0]
2019-08-21 06:00:00,2.25,0.075,"(deposit,withdraw)",0,146.0,"[10000015,10000022]","[cash-in,mobile-minutes]","[2.25,2.25]","[0.0,0.0]","[0.075,0.225]","[BBB,XYZ,provider]",[146.0]
2019-08-22 08:00:00,1.25,0.125,"(deposit,withdraw)",0,120.0,"[10000018,10000022]","[cash-in,mobile-minutes]","[1.25,1.25]","[0.0,0.0]","[0.125,0.125]","[CCC,XYZ,provider]",[120.0]
2019-08-27 07:00:00,5.0,0.25,"(deposit,withdraw)",0,1.0,"[10000021,10000022]","[cash-in,mobile-minutes]","[5.0,5.0]","[0.0,0.0]","[0.25,0.5]","[DDD,XYZ,provider]",[1.0]
2019-08-08 07:00:00,0.0625,0.002083,"(deposit,withdraw)",0,468.0,"[10000004,10000023]","[cash-in,mobile-minutes]","[0.0625,0.0625]","[0.0,0.0]","[0.002083,0.0125]","[YYY,XYZ,provider]",[468.0]
2019-08-13 06:00:00,0.1875,0.00625,"(deposit,withdraw)",0,349.0,"[10000007,10000023]","[cash-in,mobile-minutes]","[0.1875,0.1875]","[0.0,0.0]","[0.00625,0.0375]","[ZZZ,XYZ,provider]",[349.0]
2019-08-18 00:00:00,0.5,0.0125,"(deposit,withdraw)",0,235.0,"[10000010,10000023]","[cash-in,mobile-minutes]","[0.5,0.5]","[0.0,0.0]","[0.0125,0.1]","[AAA,XYZ,provider]",[235.0]
2019-08-21 06:00:00,1.125,0.0375,"(deposit,withdraw)",0,157.0,"[10000015,10000023]","[cash-in,mobile-minutes]","[1.125,1.125]","[0.0,0.0]","[0.0375,0.225]","[BBB,XYZ,provider]",[157.0]
2019-08-22 08:00:00,0.625,0.0625,"(deposit,withdraw)",0,131.0,"[10000018,10000023]","[cash-in,mobile-minutes]","[0.625,0.625]","[0.0,0.0]","[0.0625,0.125]","[CCC,XYZ,provider]",[131.0]
2019-08-27 07:00:00,2.5,0.125,"(deposit,withdraw)",0,12.0,"[10000021,10000023]","[cash-in,mobile-minutes]","[2.5,2.5]","[0.0,0.0]","[0.125,0.5]","[DDD,XYZ,provider]",[12.0]
2019-08-08 07:00:00,0.25,0.008333,"(deposit,withdraw)",0,487.0,"[10000004,10000025]","[cash-in,bill-payment]","[0.25,0.25]","[0.0,0.0]","[0.008333,0.001389]","[YYY,XYZ,utility]",[487.0]
2019-08-13 06:00:00,0.75,0.025,"(deposit,withdraw)",0,368.0,"[10000007,10000025]","[cash-in,bill-payment]","[0.75,0.75]","[0.0,0.0]","[0.025,0.004167]","[ZZZ,XYZ,utility]",[368.0]
2019-08-18 00:00:00,2.0,0.05,"(deposit,withdraw)",0,254.0,"[10000010,10000025]","[cash-in,bill-payment]","[2.0,2.0]","[0.0,0.0]","[0.05,0.011111]","[AAA,XYZ,utility]",[254.0]
2019-08-21 06:00:00,4.5,0.15,"(deposit,withdraw)",0,176.0,"[10000015,10000025]","[cash-in,bill-payment]","[4.5,4.5]","[0.0,0.0]","[0.15,0.025]","[BBB,XYZ,utility]",[176.0]
2019-08-22 08:00:00,2.5,0.25,"(deposit,withdraw)",0,150.0,"[10000018,10000025]","[cash-in,bill-payment]","[2.5,2.5]","[0.0,0.0]","[0.25,0.013889]","[CCC,XYZ,utility]",[150.0]
2019-08-27 07:00:00,10.0,0.5,"(deposit,withdraw)",0,31.0,"[10000021,10000025]","[cash-in,bill-payment]","[10.0,10.0]","[0.0,0.0]","[0.5,0.055556]","[DDD,XYZ,utility]",[31.0]
2019-08-28 12:00:00,160.0,0.8,"(deposit,withdraw)",0,2.0,"[10000024,10000025]","[cash-in,bill-payment]","[160.0,160.0]","[0.0,0.0]","[0.8,0.888889]","[EEE,XYZ,utility]",[2.0]
2019-08-08 07:00:00,0.013889,0.000463,"(deposit,withdraw)",0,517.0,"[10000004,10000026]","[cash-in,mobile-minutes]","[0.013889,0.013889]","[0.0,0.0]","[0.000463,0.001389]","[YYY,XYZ,provider]",[517.0]
2019-08-13 06:00:00,0.041667,0.001389,"(deposit,withdraw)",0,398.0,"[10000007,10000026]","[cash-in,mobile-minutes]","[0.041667,0.041667]","[0.0,0.0]","[0.001389,0.004167]","[ZZZ,XYZ,provider]",[398.0]
2019-08-18 00:00:00,0.111111,0.002778,"(deposit,withdraw)",0,284.0,"[10000010,10000026]","[cash-in,mobile-minutes]","[0.111111,0.111111]","[0.0,0.0]","[0.002778,0.011111]","[AAA,XYZ,provider]",[284.0]
2019-08-21 06:00:00,0.25,0.008333,"(deposit,withdraw)",0,206.0,"[10000015,10000026]","[cash-in,mobile-minutes]","[0.25,0.25]","[0.0,0.0]","[0.008333,0.025]","[BBB,XYZ,provider]",[206.0]
2019-08-22 08:00:00,0.138889,0.013889,"(deposit,withdraw)",0,180.0,"[10000018,10000026]","[cash-in,mobile-minutes]","[0.138889,0.138889]","[0.0,0.0]","[0.013889,0.013889]","[CCC,XYZ,provider]",[180.0]
2019-08-27 07:00:00,0.555556,0.027778,"(deposit,withdraw)",0,61.0,"[10000021,10000026]","[cash-in,mobile-minutes]","[0.555556,0.555556]","[0.0,0.0]","[0.027778,0.055556]","[DDD,XYZ,provider]",[61.0]
2019-08-28 12:00:00,8.888889,0.044444,"(deposit,withdraw)",0,32.0,"[10000024,10000026]","[cash-in,mobile-minutes]","[8.888889,8.888889]","[0.0,0.0]","[0.044444,0.888889]","[EEE,XYZ,provider]",[32.0]
2019-08-08 07:00:00,0.013889,0.000463,"(deposit,withdraw)",0,533.0,"[10000004,10000027]","[cash-in,mobile-minutes]","[0.013889,0.013889]","[0.0,0.0]","[0.000463,0.001389]","[YYY,XYZ,provider]",[533.0]
2019-08-13 06:00:00,0.041667,0.001389,"(deposit,withdraw)",0,414.0,"[10000007,10000027]","[cash-in,mobile-minutes]","[0.041667,0.041667]","[0.0,0.0]","[0.001389,0.004167]","[ZZZ,XYZ,provider]",[414.0]
2019-08-18 00:00:00,0.111111,0.002778,"(deposit,withdraw)",0,300.0,"[10000010,10000027]","[cash-in,mobile-minutes]","[0.111111,0.111111]","[0.0,0.0]","[0.002778,0.011111]","[AAA,XYZ,provider]",[300.0]
2019-08-21 06:00:00,0.25,0.008333,"(deposit,withdraw)",0,222.0,"[10000015,10000027]","[cash-in,mobile-minutes]","[0.25,0.25]","[0.0,0.0]","[0.008333,0.025]","[BBB,XYZ,provider]",[222.0]
2019-08-22 08:00:00,0.138889,0.013889,"(deposit,withdraw)",0,196.0,"[10000018,10000027]","[cash-in,mobile-minutes]","[0.138889,0.138889]","[0.0,0.0]","[0.013889,0.013889]","[CCC,XYZ,provider]",[196.0]
2019-08-27 07:00:00,0.555556,0.027778,"(deposit,withdraw)",0,77.0,"[10000021,10000027]","[cash-in,mobile-minutes]","[0.555556,0.555556]","[0.0,0.0]","[0.027778,0.055556]","[DDD,XYZ,provider]",[77.0]
2019-08-28 12:00:00,8.888889,0.044444,"(deposit,withdraw)",0,48.0,"[10000024,10000027]","[cash-in,mobile-minutes]","[8.888889,8.888889]","[0.0,0.0]","[0.044444,0.888889]","[EEE,XYZ,provider]",[48.0]
2019-08-08 07:00:00,0.006944,0.000231,"(deposit,cut)",0,551.0,[10000004],[cash-in],[0.006944],[0.0],[0.000231],"[YYY,XYZ]",[551.0]
2019-08-13 06:00:00,0.020833,0.000694,"(deposit,withdraw)",0,432.0,"[10000007,10000028]","[cash-in,mobile-minutes]","[0.020833,0.020833]","[0.0,0.0]","[0.000694,0.004167]","[ZZZ,XYZ,provider]",[432.0]
2019-08-18 00:00:00,0.055556,0.001389,"(deposit,withdraw)",0,318.0,"[10000010,10000028]","[cash-in,mobile-minutes]","[0.055556,0.055556]","[0.0,0.0]","[0.001389,0.011111]","[AAA,XYZ,provider]",[318.0]
2019-08-21 06:00:00,0.125,0.004167,"(deposit,withdraw)",0,240.0,"[10000015,10000028]","[cash-in,mobile-minutes]","[0.125,0.125]","[0.0,0.0]","[0.004167,0.025]","[BBB,XYZ,provider]",[240.0]
2019-08-22 08:00:00,0.069444,0.006944,"(deposit,withdraw)",0,214.0,"[10000018,10000028]","[cash-in,mobile-minutes]","[0.069444,0.069444]","[0.0,0.0]","[0.006944,0.013889]","[CCC,XYZ,provider]",[214.0]
2019-08-27 07:00:00,0.277778,0.013889,"(deposit,withdraw)",0,95.0,"[10000021,10000028]","[cash-in,mobile-minutes]","[0.277778,0.277778]","[0.0,0.0]","[0.013889,0.055556]","[DDD,XYZ,provider]",[95.0]
2019-08-28 12:00:00,4.444444,0.022222,"(deposit,withdraw)",0,66.0,"[10000024,10000028]","[cash-in,mobile-minutes]","[4.444444,4.444444]","[0.0,0.0]","[0.022222,0.888889]","[EEE,XYZ,provider]",[66.0]
2019-08-08 07:00:00,0.027778,0.000926,"(deposit,withdraw)",0,569.0,"[10000004,i_dc8df38c1793]","[cash-in,final]","[0.027778,0.027778]","[0.0,0.0]","[0.000926,0.001389]","[YYY,XYZ,inferred]",[569.0]
2019-08-13 06:00:00,0.083333,0.002778,"(deposit,withdraw)",0,450.0,"[10000007,i_dc8df38c1793]","[cash-in,final]","[0.083333,0.083333]","[0.0,0.0]","[0.002778,0.004167]","[ZZZ,XYZ,inferred]",[450.0]
2019-08-18 00:00:00,0.222222,0.005556,"(deposit,withdraw)",0,336.0,"[10000010,i_dc8df38c1793]","[cash-in,final]","[0.222222,0.222222]","[0.0,0.0]","[0.005556,0.011111]","[AAA,XYZ,inferred]",[336.0]
2019-08-21 06:00:00,0.5,0.016667,"(deposit,withdraw)",0,258.0,"[10000015,i_dc8df38c1793]","[cash-in,final]","[0.5,0.5]","[0.0,0.0]","[0.016667,0.025]","[BBB,XYZ,inferred]",[258.0]
2019-08-22 08:00:00,0.277778,0.027778,"(deposit,withdraw)",0,232.0,"[10000018,i_dc8df38c1793]","[cash-in,final]","[0.277778,0.277778]","[0.0,0.0]","[0.027778,0.013889]","[CCC,XYZ,inferred]",[232.0]
2019-08-27 07:00:00,1.111111,0.055556,"(deposit,withdraw)",0,113.0,"[10000021,i_dc8df38c1793]","[cash-in,final]","[1.111111,1.111111]","[0.0,0.0]","[0.055556,0.055556]","[DDD,XYZ,inferred]",[113.0]
2019-08-28 12:00:00,17.777778,0.088889,"(deposit,withdraw)",0,84.0,"[10000024,i_dc8df38c1793]","[cash-in,final]","[17.777778,17.777778]","[0.0,0.0]","[0.088889,0.888889]","[EEE,XYZ,inferred]",[84.0]
